stop_id,feature_type,feature_name
174,6000,Traffic signal
175,6000,Pavement at back door
175,6000,Bench near stop
175,6000,Crosswalk near stop
175,6000,Pavement at front door
175,6000,Shelter
175,6000,Sidewalk at stop
175,6000,Traffic signal
176,6000,Pavement at back door
176,6000,Schedule display
176,6000,Crosswalk near stop
176,6000,Curb ramp near stop
176,6000,Pavement at front door
176,6000,Lighting at stop
176,6000,Sidewalk at stop
177,6000,Pavement at back door
177,6000,Schedule display
177,6000,Bench near stop
177,6000,Crosswalk near stop
177,6000,Curb ramp near stop
177,6000,Pavement at front door
177,6000,Lighting at stop
177,6000,Lighting at stop
177,6000,Shelter
177,6000,Sidewalk at stop
178,6000,Pavement at back door
178,6000,Schedule display
178,6000,Bench near stop
178,6000,Crosswalk near stop
178,6000,Curb ramp near stop
178,6000,Pavement at front door
178,6000,Lighting at stop
178,6000,Sidewalk at stop
179,6000,Schedule display
179,6000,Bench near stop
179,6000,Crosswalk near stop
179,6000,Curb ramp near stop
179,6000,Pavement at front door
179,6000,Lighting at stop
179,6000,Lighting at stop
179,6000,Shelter
179,6000,Garbage Can
180,6000,Schedule display
180,6000,Pavement at front door
180,6000,Lighting at stop
180,6000,Sidewalk at stop
181,6000,Pavement at back door
181,6000,Schedule display
181,6000,Curb ramp near stop
181,6000,Pavement at front door
181,6000,Lighting at stop
181,6000,Sidewalk at stop
182,6000,Pavement at back door
182,6000,Schedule display
182,6000,Pavement at front door
182,6000,Lighting at stop
183,6000,Pavement at back door
183,6000,Schedule display
183,6000,Bench near stop
183,6000,Curb ramp near stop
183,6000,Pavement at front door
183,6000,Lighting at stop
183,6000,Sidewalk at stop
184,6000,Pavement at back door
184,6000,Schedule display
184,6000,Curb ramp near stop
184,6000,Pavement at front door
184,6000,Lighting at stop
184,6000,Sidewalk at stop
185,6000,Pavement at back door
185,6000,Schedule display
185,6000,Pavement at front door
185,6000,Lighting at stop
185,6000,Sidewalk at stop
186,6000,Pavement at back door
186,6000,Schedule display
186,6000,Curb ramp near stop
186,6000,Pavement at front door
186,6000,Lighting at stop
186,6000,Sidewalk at stop
187,6000,Pavement at back door
187,6000,Schedule display
187,6000,Curb ramp near stop
187,6000,Pavement at front door
187,6000,Lighting at stop
187,6000,Sidewalk at stop
187,6000,Telephone near stop
188,6000,Schedule display
189,6000,Pavement at back door
189,6000,Pavement at front door
189,6000,Lighting at stop
191,6000,Pavement at back door
191,6000,Schedule display
191,6000,Bench near stop
191,6000,Bench near stop
191,6000,Crosswalk near stop
191,6000,Curb ramp near stop
191,6000,Pavement at front door
191,6000,Lighting at stop
191,6000,Lighting at stop
191,6000,Shelter
191,6000,Sidewalk at stop
191,6000,Traffic signal
193,6000,Pavement at back door
193,6000,Schedule display
193,6000,Bench near stop
193,6000,Crosswalk near stop
193,6000,Curb ramp near stop
